year,place,name,country,bike
1979,1,Cyril Neveu,FRA,Yamaha XT 500
1979,2,Gilles Comte,FRA,Yamaha XT 500
1979,3,Philippe Vassard,FRA,Honda XL 250
1980,1,Cyril Neveu,FRA,Yamaha XT 500
1980,2,Michel Merel,FRA,Yamaha XT 500
1980,3,Jean-Noël Pineau,FRA,Yamaha XT 500
1981,1,Hubert Auriol,FRA,BMW R80 G/S
1981,2,Serge Bacou,FRA,Yamaha XT 500
1981,3,Michel Merel,FRA,Yamaha XT 500
1982,1,Cyril Neveu,FRA,Honda XR 550
1982,2,Philippe Vassard,FRA,Honda XR 550
1982,3,Grégoire Verhaeghe,FRA,Barigo 500
1983,1,Hubert Auriol,FRA,BMW R80 G/S
1983,2,Patrick Drobecq,FRA,Honda XR 600
1983,3,Marc Joineau,FRA,Suzuki DR 500
1984,1,Gaston Rahier,BEL,BMW R80 G/S
1984,2,Hubert Auriol,FRA,BMW R80 G/S
1984,3,Philippe Vassard,FRA,Honda XLR 600
1985,1,Gaston Rahier,BEL,BMW R80 G/S
1985,2,Jean-Claude Olivier,FRA,Yamaha 660 Proto
1985,3,Franco Picco,ITA,Yamaha 600 XT
1986,1,Cyril Neveu,FRA,Honda NXR 780
1986,2,Gilles Lalay,FRA,Honda NXR 780
1986,3,Andrea Balestrieri,ITA,Honda XL 600
1987,1,Cyril Neveu,FRA,Honda NXR 750
1987,2,Edi Orioli,ITA,Honda XL 600
1987,3,Gaston Rahier,BEL,BMW R80 GS
1988,1,Edi Orioli,ITA,Honda NXR 800V
1988,2,Franco Picco,ITA,Yamaha YZE 750
1988,3,Gilles Lalay,FRA,Honda NXR 750
1989,1,Gilles Lalay,FRA,Honda NXR 800V
1989,2,Franco Picco,ITA,Yamaha YZE 750
1989,3,Marc Morales,FRA,Honda NXR 750
1990,1,Edi Orioli,ITA,Cagiva Elefant 900
1990,2,Carles Mas,ESP,Yamaha YZE 750
1990,3,Alessandro De Petri,ITA,Cagiva Elefant 900
1991,1,Stéphane Peterhansel,FRA,Yamaha YZE 750T
1991,2,Gilles Lalay,FRA,Yamaha YZE 750T
1991,3,Thierry Magnaldi,FRA,Yamaha YZE 750T
1992,1,Stéphane Peterhansel,FRA,Yamaha YZE 850T
1992,2,Danny LaPorte,USA,Cagiva Elefant 900
1992,3,Jordi Arcarons,ESP,Cagiva Elefant 900
1993,1,Stéphane Peterhansel,FRA,Yamaha YZE 850T
1993,2,Thierry Charbonnier,FRA,Yamaha YZE 850T
1993,3,Jordi Arcarons,ESP,Yamaha YZE 850T
1994,1,Edi Orioli,ITA,Cagiva Elefant 900
1994,2,Jordi Arcarons,ESP,Cagiva Elefant 900
1994,3,Fabrizio Meoni,ITA,Honda EXP-2
1995,1,Stéphane Peterhansel,FRA,Yamaha YZE 850T
1995,2,Jordi Arcarons,ESP,Cagiva Elefant 900
1995,3,Edi Orioli,ITA,Cagiva Elefant 900
1996,1,Edi Orioli,ITA,Yamaha YZE 850T
1996,2,Jordi Arcarons,ESP,KTM LC4
1996,3,Carlos Sotelo,ESP,KTM LC4
1997,1,Stéphane Peterhansel,FRA,Yamaha YZE 850T
1997,2,Oscar Gallardo,ESP,Cagiva Elefant 900
1997,3,David Castera,FRA,Yamaha YZE 850T
1998,1,Stéphane Peterhansel,FRA,Yamaha YZE 850T
1998,2,Fabrizio Meoni,ITA,KTM LC4
1998,3,Andrew Haydon,AUS,KTM LC4
1999,1,Richard Sainct,FRA,BMW F650 RR
1999,2,Thierry Magnaldi,FRA,KTM LC4
1999,3,Alfie Cox,RSA,KTM LC4
2000,1,Richard Sainct,FRA,BMW F650 RR
2000,2,Oscar Gallardo,ESP,BMW F650 RR
2000,3,Jimmy Lewis,USA,BMW R900 GS
2001,1,Fabrizio Meoni,ITA,KTM LC4 660R
2001,2,Jordi Arcarons,ESP,KTM LC4 660R
2001,3,Carlo de Gavardo,CHI,KTM LC4 660R
2002,1,Fabrizio Meoni,ITA,KTM LC8 950R
2002,2,Alfie Cox,RSA,KTM LC4 660R
2002,3,Richard Sainct,FRA,KTM LC4 660R
2003,1,Richard Sainct,FRA,KTM LC4 660R
2003,2,Cyril Despres,FRA,KTM LC4 660R
2003,3,Fabrizio Meoni,ITA,KTM LC8 950R
2004,1,Nani Roma,ESP,KTM LC4 660R
2004,2,Richard Sainct,FRA,KTM LC4 660R
2004,3,Cyril Despres,FRA,KTM LC4 660R
2005,1,Cyril Despres,FRA,KTM LC4 660R
2005,2,Marc Coma,ESP,KTM LC4 660R
2005,3,Alfie Cox,RSA,KTM LC4 660R
2006,1,Marc Coma,ESP,KTM LC4 660R
2006,2,Cyril Despres,FRA,KTM LC4 660R
2006,3,Giovanni Sala,ITA,KTM LC4 660R
2007,1,Cyril Despres,FRA,KTM 690 Rally
2007,2,David Casteu,FRA,KTM 690 Rally
2007,3,Chris Blais,USA,KTM 660 Rally
2009,1,Marc Coma,ESP,KTM 690 Rally
2009,2,Cyril Despres,FRA,KTM 690 Rally
2009,3,David Frétigné,FRA,Yamaha WR 450
2010,1,Cyril Despres,FRA,KTM 690 Rally
2010,2,Pål Anders Ullevålseter,NOR,KTM 690 Rally
2010,3,Francisco López Contardo,CHI,Aprilia RXV 450
2011,1,Marc Coma,ESP,KTM 450 Rally
2011,2,Cyril Despres,FRA,KTM 450 Rally
2011,3,Hélder Rodrigues,POR,Yamaha WR 450F
2012,1,Cyril Despres,FRA,KTM 450 Rally
2012,2,Marc Coma,ESP,KTM 450 Rally
2012,3,Hélder Rodrigues,POR,Yamaha WR 450F
2013,1,Cyril Despres,FRA,KTM 450 Rally
2013,2,Ruben Faria,POR,KTM 450 Rally
2013,3,Francisco López Contardo,CHI,KTM 450 Rally
2014,1,Marc Coma,ESP,KTM 450 Rally
2014,2,Jordi Viladoms,ESP,KTM 450 Rally
2014,3,Olivier Pain,FRA,Yamaha WR 450F
2015,1,Marc Coma,ESP,KTM 450 Rally
2015,2,Paulo Gonçalves,POR,Honda CRF 450
2015,3,Toby Price,AUS,KTM 450 Rally
2016,1,Toby Price,AUS,KTM 450 Rally
2016,2,Štefan Svitko,SVK,KTM 450 Rally
2016,3,Pablo Quintanilla,CHI,Husqvarna 450 Rally
2017,1,Sam Sunderland,GBR,KTM 450 Rally
2017,2,Matthias Walkner,AUT,KTM 450 Rally
2017,3,Gerard Farrés,ESP,KTM 450 Rally
2018,1,Matthias Walkner,AUT,KTM 450 Rally
2018,2,Kevin Benavides,ARG,Honda CRF 450
2018,3,Toby Price,AUS,KTM 450 Rally
2019,1,Toby Price,AUS,KTM 450 Rally
2019,2,Matthias Walkner,AUT,KTM 450 Rally
2019,3,Sam Sunderland,GBR,KTM 450 Rally
2020,1,Ricky Brabec,USA,Honda CRF 450 Rally
2020,2,Pablo Quintanilla,CHI,Husqvarna 450 Rally
